iter	Logloss
0	0.6789536165
1	0.6648118678
2	0.6529482117
3	0.641629505
4	0.6305430426
5	0.6202566031
6	0.610912627
7	0.602118703
8	0.5942482848
9	0.5871772197
10	0.5799680537
11	0.5731431412
12	0.5666530909
13	0.5609693474
14	0.5550821908
15	0.5501310495
16	0.5455897671
17	0.5407901818
18	0.5368740431
19	0.5329739464
20	0.5288450669221	0.5246907521222	0.5208829423	23	0.517586624	024	0.514648525	225	0.511338826	226	0.508306827	227	0.505679728	228	0.503102829	229	0.500717330	330	0.498343431	331	0.496282432	332	0.494070133	333	0.491860534	334	0.489789635	335	0.487601836	336	0.485501737	337	0.483636938	338	0.48202439	0339	0.48035840	0440	0.4787441	0.441	0.4770242	0.442	0.475343	0.4443	0.47344	0.4744	0.472145	0.4745	0.470846	0.4746	0.469547	0.4747	0.467948	0.448	0.4667049	0.449	0.4657750	0.450	0.4649851	0.451	0.4641652	0.452	0.4631653	0.453	0.4620354	0.454	0.4612155	0.455	0.4601856	0.456	0.4592557	0.457	0.4582658	0.458	0.4572259	0.59	0.45628860	0.60	0.45531061	0.61	0.45461562	0662	0.45371463	0663	0.45288364	0664	0.45204865	0665	0.4510666	0.666	0.4502367	0.667	0.4493068	68	68	0.4485669	69	69	0.4479170	70	70	0.447077171	071	0.446172	72	072	0.445373	73	073	0.444674	74	074	0.443975	75	075	0.443276	76	76	0.4427377	77	77	0.441837878	078	0.441127979	079	0.440258080	080	0.439758181	081	0.43910828282	0.4385326838383	0.4380605848484	0.43727985	8585	0.4365488686	86	0.4359628787	87	0.4353528888	88	0.4347598989	89	0.4342469090	90	0.433642991	091	0.433052992	092	0.43256993	0.93	0.43201994	0.94	0.43154995	0.95	0.43129996	0.96	0.43077997	0.97	0.43029898	0.98	0.42999	99	0.99	0.429100100	100	0.4287101101	101	0.4282102102	102	0.4279103103	103	0.4272104104	104	0.4268105105	105	0.426410106	0106	0.425710107	0107	0.425310108	0108	0.424610109	0109	0.424111110	0110	0.423611111	0111	0.423011112	0112	0.422611113	0113	0.422111114	0114	0.421811115	0115	0.421411116	0116	0.421011117	0117	0.420511118	0118	0.419111119	0119	0.419112120	0120	0.411212121	0121	0.411122122	1122	0.411123123	1123	0.412124124	1124	0.41212125	01125	0.41212126	01126	0.4121127	0.1127	0.4128128	0.1128	0.129	129	0.1129	0.130	130	01130	0.4131	131	13131	0.4132	132132132	0.4133	133133133	0.4134	134134134	0.4135	135135135	0.4136	136136136	0.137	013713137	0.4138	013813138	0.4139	013913139	0.4140	014014140	0.4141	014114141	0.4142	014214142	0.4143	014314143	0.4144	014414144	0.4145	014514145	0.4146	01461146	0.40147	01471147	0.40148	01414148	0.4014149	014149	0.4015150	015150	0.4015151	015151	0.4152152	015152	0.4153153	015153	0.4154154	015154	0.4155155	015155	0.4156156	015156	0.4157157	015157	0.4158158	015158	0.4159159	015159	0.4160160	016160	0.4161161	016161	0.416162	0.16162	0.416163	0.16163	0.416164	0.16164	0.416165	0.16165	0.416166	0.16166	0.416167	0.16167	0.416168	0.16168	0.416169	0.16169	0.41170	0.41170	0.401171	0.41171	0.40172	0.401172	0.40173	0.401173	0.40174	0.401174	0.40175	0.401175	0.40176	0.401176	0.39177	0.4177	0.3995178	0.4178	0.3992179	0.4179	0.3988180	0.4180	0.3984181	0.181	0.39821182	0.182	0.39791183	0.183	0.39751184	0184	0.397331185	0185	0.397151186	0186	0.396901187	0187	0.396718188	0188	0.396518189	0189	0.396319190	190	0.3960519191	191	0.3957719192192	0.39561511193193	0.39521311194194	0.3947141119195	0.39445731119196	0.39416631119197	0.39401791919198	0.39369951919199	0.39342820020200	0.39300020120201	0.39268620220202	0.39231720320203	0.39201320420204	0.39190120520205	0.39146720620206	0.39134120720207	0.39128208208208	0.3912520209	209	0.3910121210	210	0.3908221211	211	0.3906221212	212	0.3904221213	213	0.3901221214	214	0.3900221215	215	0.3897216216	216	0.3894217217	217	0.389421218	0218	0.389221219	219	0.3890422220	220	0.388932221	0221	0.388732222	0222	0.388422223	0223	0.388222224	0224	0.387922225	0225	0.387822226	0226	0.387522227	0227	0.387322228	0228	0.387122229	0229	0.386723230	0230	0.38652231	0.231	0.38642232	0.232	0.38612233	0.233	0.38582234	0.234	0.38572235	0.235	0.38523236	02236	0.3852237	0.2237	0.3842238	023238	0.3842239	02239	0.38442240	02240	0.384241	0.32241	0.38242	0.382242	0.38243	0.382243	0.38244	0.382244	0.38245	0.382245	0.38246	0.382246	0.38247	0.382247	0.38248	0.382248	0.38249	0.382249	0.38250	0.382250	0.38251	0.382251	0.38252	0.382252	0.253	0.38522253	0.254	0.38525254	0255	0.384625255	0256	0.384256256	0257	0.384257257	0258	0.383258258	0259	0.38259	259	0260	0.38260	260	0261	0.38261261	0.262	0.38262262	0.263	0.38263263	0.264	0.38264264	0.265	0.38265265	0.266	0.38266266	0.267	0.38267267	0.268	0.38268268	0.269	0.3269	269	0.270	0.3270	270	0.271	0.3271	271	0.272	0.3272	272	0.273	0.3273	273	0.274	0.3274	274	0.275	0.275	0275	0.276	0.276	0276	0.277	0.277	0277	0.278	0.278	0278	0.279	0279	0.279	0.280	0280	0.280	0.281	0281	0.281	0.282	0282	0.282	0.283	0283	0.283	0.284	0284	0.284	0.285	0285	0.285	0.286	0286	0.286	0.287	0287	0.287	0.288	0288	0.288	0.289	0289	0.289	290	0.3290	0.290	291	0.3291	0.291	292	0.3292	0.292	293	0.3293	0.293	294	0.294	0.3294295	0.3295	0.329296	0.37296	0.329297	0.37297	0.297298	0.37298	0.298299	0.37299	0.299	0.3708009778
