iter	Logloss
0	0.6886759198
1	0.6836335015
2	0.6793190349
3	0.6744523318
4	0.6697430286
5	0.6652163104
6	0.6609232183
7	0.6565941893
8	0.6526286995
9	0.6484329059
10	0.6442625719
11	0.6400141639
12	0.6360168815
13	0.6321504896
14	0.6287175946
15	0.6251531188
16	0.6217042062
17	0.6180947639
18	0.6148546786
19	0.6113809367
20	0.608203172
21	0.605179124
22	0.6019691134
23	0.5988131068
24	0.5961099396
25	0.5928941031
26	0.5899030947
27	0.5871356936
28	0.5842848605
29	0.5816270295
30	0.5790420844
31	0.5762680471
32	0.5736422968
33	0.5713506551
34	0.5687282125
35	0.5662101609
36	0.5637749636
37	0.5614395
38	0.5592098536
39	0.5569419635
40	0.5545673262
41	0.5523424977
42	0.5502250328
43	0.5482906157
44	0.5462696856
45	0.5445431899
46	0.5424774998
47	0.5402894845
48	0.5386601954
49	0.5368812111
50	0.5351760888
51	0.5334082055
52	0.5315986201
53	0.5296590222
54	0.5278966576
55	0.5263248231
56	0.5245982997
57	0.52308585
58	0.5215566567
59	0.5199752814
60	0.5183387613
61	0.5168241987
62	0.5153328391
63	0.5141021167
64	0.5129112849
65	0.5114302911
66	0.5100040799
67	0.5087494049
68	0.5074921773
69	0.5062781845
70	0.5050426746
71	0.5037599608
72	0.5026360785
73	0.5014112917
74	0.5001947385
75	0.4990245063
76	0.4979298815
77	0.4967189819
78	0.4955819414
79	0.4946224403
80	0.4936040107
81	0.4925746128
82	0.4917182204
83	0.4907343906
84	0.4896266726
85	0.4887983152
86	0.4878146666
87	0.4868581152
88	0.4860039456
89	0.4851142001
90	0.484141584
91	0.4834055777
92	0.4825050229
93	0.4816306844
94	0.480839966
95	0.4800801362
96	0.4792490172
97	0.4785503909
98	0.4777801686
99	0.4770884528
100	0.47637577
101	0.4757157697
102	0.4750424806
103	0.4744001858
104	0.4736269374
105	0.4729499722
106	0.4723060854
107	0.4717573489
108	0.471147557
109	0.4704304831
110	0.4698165733
111	0.4691675622
112	0.468509927
113	0.467974441
114	0.4674440164
115	0.4669116233
116	0.4663378845
117	0.4658533393
118	0.4654120237
119	0.4648356157
120	0.4642439315
121	0.4637333861
122	0.4632118233
123	0.462688324
124	0.4621690178
125	0.4616103345
126	0.4610768114
127	0.4605203625
128	0.4600330228
129	0.4595547111
130	0.4590134538
131	0.4586150419
132	0.4581366868
133	0.4576774219
134	0.4571602716
135	0.4566575875
136	0.4562821899
137	0.4558991289
138	0.4553679929
139	0.4549114711
140	0.4545484361
141	0.4541151638
142	0.4536924342
143	0.4532453934
144	0.4529310267
145	0.452529208
146	0.4521717705
147	0.4517999844
148	0.4513946662
149	0.4510511652
150	0.45065606
151	0.4502606664
152	0.4499264773
153	0.4495756177
154	0.4491711021
155	0.448800735
156	0.4484336946
157	0.4481111947
158	0.4477753124
159	0.4474592699
160	0.4471083831
161	0.4467467589
162	0.4464467016
163	0.446161
164	0.4458146675
165	0.4454926645
166	0.4451657789
167	0.4448540815
168	0.4446199675
169	0.4442853916
170	0.4439760327
171	0.4436921728
172	0.443357047
173	0.4430586396
174	0.442793366
175	0.4424999513
176	0.442238906
177	0.4419721684
178	0.4416568362
179	0.4413848026
180	0.4411632232
181	0.4409124887
182	0.4406323087
183	0.4403697608
184	0.440143632
185	0.4398950617
186	0.4396328711
187	0.4393677859
188	0.4390677316
189	0.4388319805
190	0.4385721256
191	0.438339529
192	0.4380543576
193	0.4377950598
194	0.4375640774
195	0.4373098648
196	0.4370774492
197	0.4368345405
198	0.436621265
199	0.4364266531
200	0.4361835847
201	0.4359701687
202	0.4357113261
203	0.435515071
204	0.4352573294
205	0.4350299949
206	0.4348124574
207	0.4346077771
208	0.434390281
209	0.4342009001
210	0.4339877737
211	0.4337746431
212	0.4335761332
213	0.4333534415
214	0.4331517559
215	0.4329455501
216	0.4327655712
217	0.4325852523
218	0.4323856997
219	0.4321959012
220	0.4320243348
221	0.4318354723
222	0.4316443661
223	0.4314229377
224	0.4312439867
225	0.4310573445
226	0.4308261422
227	0.430614029
228	0.4304378482
229	0.4302938167
230	0.4301227823
231	0.4299841566
232	0.4298530175
233	0.4296537589
234	0.4294458777
235	0.4293008179
236	0.4290863129
237	0.4289049831
238	0.428786365
239	0.4286086782
240	0.4284223468
241	0.4282625384
242	0.4280768698
243	0.4279049133
244	0.4277139754
245	0.4275592817
246	0.4274124761
247	0.4272623155
248	0.4271000144
249	0.4269447506
250	0.4267656504
251	0.4266007834
252	0.4264246351
253	0.4262596007
254	0.4261052188
255	0.4259570612
256	0.4258064683
257	0.4256710461
258	0.4254849739
259	0.4253443482
260	0.4251939809
261	0.4250593302
262	0.4249359067
263	0.424783763
264	0.4246391121
265	0.4244830738
266	0.4243490056
267	0.424203975
268	0.4240715412
269	0.4239455708
270	0.4237961879
271	0.4236561308
272	0.4235152633
273	0.4234035326
274	0.4232669321
275	0.4231228835
276	0.42299522
277	0.4228790418
278	0.422720116
279	0.4225735407
280	0.422444823
281	0.4223193564
282	0.4222112189
283	0.4220642262
284	0.4219057469
285	0.4217716324
286	0.4216270327
287	0.4214654477
288	0.421306134
289	0.4211887161
290	0.4210509428
291	0.4209110859
292	0.420787947
293	0.4206969668
294	0.4205817569
295	0.4204961506
296	0.4203509428
297	0.4202202201
298	0.420099828
299	0.4199693215
300	0.4198328487
301	0.4197416482
302	0.4196194873
303	0.419498904
304	0.4193693986
305	0.4192559048
306	0.4191407157
307	0.4190156504
308	0.418902662
309	0.4187875889
310	0.4186973891
311	0.4185838453
312	0.4184836689
313	0.41837013
314	0.4182508602
315	0.4181734714
316	0.4180588464
317	0.4179729661
318	0.4178720893
319	0.4177738069
320	0.417658846
321	0.4175706969
322	0.4174573068
323	0.4173512666
324	0.4172576797
325	0.4171719007
326	0.4170756439
327	0.4169585608
328	0.4168567153
329	0.4167593402
330	0.4166481939
331	0.4165594693
332	0.416476121
333	0.416370302
334	0.4162527341
335	0.4161414402
336	0.4160294533
337	0.4159494953
338	0.4158524048
339	0.415801522
340	0.41572159
341	0.415628849
342	0.4155413066
343	0.4154417835
344	0.4153515587
345	0.4152549032
346	0.4151878382
347	0.415074686
348	0.4149676321
349	0.4148923572
350	0.4148338698
351	0.4147293037
352	0.4146384119
353	0.4145437665
354	0.4144496224
355	0.414376871
356	0.4142863812
357	0.4141778263
358	0.4140724733
359	0.4139784409
360	0.4139088426
361	0.4138249897
362	0.4136968412
363	0.413641659
364	0.4135392865
365	0.4134456976
366	0.4133668386
367	0.4132790157
368	0.4131528899
369	0.4130581723
370	0.4129796632
371	0.4128641303
372	0.4127907002
373	0.4127240191
374	0.4126343639
375	0.4125364719
376	0.4124611099
377	0.412401993
378	0.4123194364
379	0.41224667
380	0.4121819895
381	0.4121081504
382	0.4120114074
383	0.4119038388
384	0.4117972933
385	0.4117147672
386	0.4116344848
387	0.4115395444
388	0.4114673994
389	0.4113669871
390	0.4113140966
391	0.4112193766
392	0.4111414616
393	0.4110485502
394	0.410954848
395	0.4108538827
396	0.4107698351
397	0.4107128422
398	0.4106595408
399	0.4105902012
400	0.4104969848
401	0.4104079586
402	0.4103608177
403	0.410293213
404	0.4102120809
405	0.4101571982
406	0.410081734
407	0.4100115891
408	0.4099331466
409	0.4098322453
410	0.4097516436
411	0.4096521412
412	0.4095643855
413	0.4094731656
414	0.4093976114
415	0.4093194974
416	0.4092618029
417	0.409222392
418	0.4091484696
419	0.4090586314
420	0.4089691401
421	0.4088902554
422	0.4088037813
423	0.408729801
424	0.4086667919
425	0.4085804083
426	0.4085167923
427	0.4084676602
428	0.4084249078
429	0.4083719226
430	0.4083117646
431	0.4082331306
432	0.4081310373
433	0.4080603704
434	0.4079923337
435	0.4079230457
436	0.4078685948
437	0.4078364445
438	0.4077720998
439	0.4077247227
440	0.407648715
441	0.407582658
442	0.407510586
443	0.4074388953
444	0.4073647307
445	0.4072762953
446	0.4072375279
447	0.4071297775
448	0.407045973
449	0.4070138732
450	0.4069412915
451	0.4068597645
452	0.4067813289
453	0.4067345853
454	0.4066616915
455	0.4066043433
456	0.4065398116
457	0.4064649695
458	0.4064164692
459	0.4063390225
460	0.406292563
461	0.4062245568
462	0.4061660838
463	0.4060951471
464	0.4060210237
465	0.4059518247
466	0.4058776654
467	0.4058310045
468	0.4057817206
469	0.4056861313
470	0.4056075253
471	0.4055499394
472	0.4054870384
473	0.4054192975
474	0.4053670987
475	0.4053005834
476	0.4052457637
477	0.4051946387
478	0.4051360507
479	0.4050689858
480	0.4050136852
481	0.4049421924
482	0.4049055426
483	0.4048285478
484	0.404762115
485	0.4046784575
486	0.4046379431
487	0.4045663672
488	0.4045051702
489	0.4044509068
490	0.4043999627
491	0.4043347413
492	0.4042759708
493	0.404228736
494	0.4041790481
495	0.4041161426
496	0.4040471268
497	0.4040098485
498	0.4039507773
499	0.4038795815
500	0.4038306431
501	0.4037761065
502	0.4037144784
503	0.4036466616
504	0.4035998835
505	0.4035623365
506	0.403504914
507	0.4034605635
508	0.4033987828
509	0.4033223554
510	0.4032721682
511	0.4032176638
512	0.4031539407
513	0.4031088969
514	0.4030434408
515	0.4029615094
516	0.4029073851
517	0.4028529767
518	0.4028064383
519	0.4027430663
520	0.4026773488
521	0.4026133264
522	0.4025438819
523	0.4024842934
524	0.4024312394
525	0.4023750693
526	0.4023271437
527	0.4022771846
528	0.4022212252
529	0.402174332
530	0.4021303341
531	0.4020910756
532	0.4020330743
533	0.4019777289
534	0.4019277569
535	0.40185873
536	0.4017971261
537	0.4017556513
538	0.4016982393
539	0.4016202127
540	0.4015834002
541	0.4015112019
542	0.4014485157
543	0.4014079129
544	0.4013401422
545	0.4012877381
546	0.4012613543
547	0.4012163305
548	0.4011671093
549	0.401126131
550	0.4010746458
551	0.4010022767
552	0.4009651227
553	0.4009091315
554	0.4008673645
555	0.4008185399
556	0.4007791187
557	0.4007200223
558	0.4006545856
559	0.4005986004
560	0.4005568768
561	0.4004929683
562	0.4004631973
563	0.4004132532
564	0.4003665884
565	0.4003098261
566	0.4002603211
567	0.4002310407
568	0.4001952438
569	0.4001608772
570	0.4001043289
571	0.4000502385
572	0.3999969724
573	0.3999284366
574	0.3998712924
575	0.3998092819
576	0.3997760901
577	0.39969484
578	0.3996386612
579	0.3995949765
580	0.3995304328
581	0.3995021523
582	0.3994332598
583	0.3993997378
584	0.3993639184
585	0.399327741
586	0.3992940431
587	0.3992406379
588	0.3991812836
589	0.3991599528
590	0.3991342168
591	0.3990895605
592	0.39902846
593	0.3989728471
594	0.3989047191
595	0.3988590183
596	0.3988053932
597	0.3987604721
598	0.3987117569
599	0.3986365201
600	0.3985982026
601	0.3985621035
602	0.3985190389
603	0.3984952854
604	0.3984526231
605	0.3984109798
606	0.3983589289
607	0.3983061229
608	0.3982624489
609	0.3982184284
610	0.3981539795
611	0.3981077088
612	0.3980643428
613	0.3980294109
614	0.3979548719
615	0.3978865363
616	0.3978356841
617	0.3977861442
618	0.3977236313
619	0.3976755206
620	0.3976157089
621	0.3975897968
622	0.3975504371
623	0.3974916747
624	0.397423639
625	0.3973775492
626	0.3973270738
627	0.3972667047
628	0.3972128002
629	0.3971366121
630	0.3970951819
631	0.3970445426
632	0.396985826
633	0.3969221495
634	0.3968608793
635	0.3967955481
636	0.3967405558
637	0.3967249942
638	0.3966854023
639	0.3966504877
640	0.3966310446
641	0.3965700971
642	0.39652867
643	0.3964748457
644	0.3964238727
645	0.3963513881
646	0.3963144292
647	0.3962831286
648	0.3962502693
649	0.3962211945
650	0.3961582164
651	0.3961060669
652	0.3960686966
653	0.3960234958
654	0.3959719448
655	0.3959121458
656	0.3958621239
657	0.3958461794
658	0.3958000629
659	0.3957633457
660	0.3957196808
661	0.3956696243
662	0.3956233104
663	0.3955852153
664	0.395549641
665	0.3954984613
666	0.3954584079
667	0.3954389817
668	0.3953808778
669	0.3953521958
670	0.3952754146
671	0.3952138475
672	0.3951625506
673	0.3951312351
674	0.3950865321
675	0.3950436558
676	0.3950284981
677	0.3949487196
678	0.394892588
679	0.3948412924
680	0.3947977864
681	0.3947732874
682	0.3947222416
683	0.3946794762
684	0.3946159444
685	0.3945772897
686	0.394512328
687	0.394479897
688	0.3944247373
689	0.3943760469
690	0.3943356755
691	0.3942877046
692	0.3942638727
693	0.3942369436
694	0.3941986604
695	0.3941602396
696	0.3941342989
697	0.3940778675
698	0.394034761
699	0.3940081816
700	0.3939833321
701	0.3939480108
702	0.39390735
703	0.3938696684
704	0.3938300785
705	0.3938080024
706	0.3937822559
707	0.3937274169
708	0.39370251
709	0.3936647166
710	0.3936111697
711	0.3935660898
712	0.3935173286
713	0.3934760506
714	0.3934570249
715	0.393417599
716	0.3933635572
717	0.3933167952
718	0.3932801399
719	0.3932377226
720	0.393189565
721	0.3931741137
722	0.3931301213
723	0.3930855054
724	0.3930213904
725	0.3929944984
726	0.3929632992
727	0.3929408574
728	0.3929109163
729	0.3928576669
730	0.3928199836
731	0.3927534561
732	0.3926980899
733	0.3926496213
734	0.3926104464
735	0.3925494545
736	0.3925007164
737	0.3924550815
738	0.3924125878
739	0.3923484804
740	0.3923070898
741	0.3922727853
742	0.3922444497
743	0.3922044367
744	0.392159718
745	0.392117801
746	0.3920904873
747	0.3920610618
748	0.3920267889
749	0.3919968002
750	0.3919541716
751	0.3919184866
752	0.3918694057
753	0.391823782
754	0.3917855071
755	0.3917493476
756	0.3916875305
757	0.3916552647
758	0.391625093
759	0.3916024652
760	0.3915634403
761	0.3915097562
762	0.3914776467
763	0.3914474665
764	0.3914280712
765	0.3913658239
766	0.3913157534
767	0.391247004
768	0.3912136547
769	0.3911737483
770	0.391148506
771	0.3911009942
772	0.3910869118
773	0.3910556532
774	0.3910185456
775	0.3909811695
776	0.3909454404
777	0.3909251525
778	0.3908997642
779	0.3908687287
780	0.3908305808
781	0.3908001601
782	0.3907782063
783	0.3907481674
784	0.3907197315
785	0.3906969401
786	0.3906655906
787	0.3906114378
788	0.3905999096
789	0.3905688568
790	0.3905012252
791	0.3904618738
792	0.3904119106
793	0.3903720202
794	0.3903364291
795	0.3902964105
796	0.3902541835
797	0.3902300111
798	0.3902039932
799	0.390175316
800	0.3901555102
801	0.3901119406
802	0.3900491087
803	0.3900157612
804	0.389977973
805	0.3899454244
806	0.3899293633
807	0.3898940239
808	0.3898737179
809	0.3898132827
810	0.3898070493
811	0.3897632327
812	0.3897187261
813	0.3896679203
814	0.3896518893
815	0.389593685
816	0.3895742892
817	0.3895294866
818	0.3894857986
819	0.3894609081
820	0.3894060038
821	0.3893729265
822	0.389334846
823	0.3893032631
824	0.3892676937
825	0.389219726
826	0.3891679816
827	0.389139364
828	0.3891072894
829	0.389065072
830	0.3890350798
831	0.3890027988
832	0.3889766008
833	0.3889245592
834	0.3888884175
835	0.3888389077
836	0.3888012952
837	0.3887755044
838	0.3887566123
839	0.3887181639
840	0.3886779489
841	0.3886422696
842	0.3886064574
843	0.3885565722
844	0.3885315577
845	0.3884878164
846	0.3884492967
847	0.3884320852
848	0.3884041044
849	0.3883596928
850	0.3883268649
851	0.3882994596
852	0.3882798115
853	0.3882538717
854	0.3881924826
855	0.3881430277
856	0.3881041098
857	0.3880503484
858	0.3880314532
859	0.387985226
860	0.3879597497
861	0.3879050799
862	0.3878923941
863	0.387844668
864	0.3877936133
865	0.387764778
866	0.3877549266
867	0.3877267217
868	0.3876913617
869	0.3876752345
870	0.3876368625
871	0.3875901667
872	0.3875703746
873	0.3875290524
874	0.3874801732
875	0.3874572856
876	0.3874389217
877	0.3874049032
878	0.3873515437
879	0.3873207621
880	0.3872745316
881	0.3872548081
882	0.387239093
883	0.3871974564
884	0.3871448811
885	0.3871196498
886	0.3870580526
887	0.3870161764
888	0.3869949939
889	0.38696875
890	0.3869475446
891	0.3869260761
892	0.3868998755
893	0.3868631444
894	0.3868170105
895	0.3867714954
896	0.3867428719
897	0.3867159056
898	0.3866903086
899	0.3866609636
900	0.3866115123
901	0.386574854
902	0.3865387991
903	0.386500056
904	0.3864657789
905	0.3864480134
906	0.3864152692
907	0.3863777725
908	0.386352433
909	0.3863188366
910	0.3862794981
911	0.3862382061
912	0.3862183129
913	0.3861591728
914	0.3860950854
915	0.3860652279
916	0.3860284512
917	0.3859842927
918	0.3859579062
919	0.3859232115
920	0.3858819613
921	0.3858241462
922	0.3858009702
923	0.385762249
924	0.3857299884
925	0.3857028911
926	0.3856696015
927	0.3856227625
928	0.3855551595
929	0.385493039
930	0.3854590665
931	0.3853984159
932	0.3853587571
933	0.3853373059
934	0.3853180713
935	0.3852582989
936	0.3852105284
937	0.3851650049
938	0.3851262071
939	0.3850889066
940	0.3850535566
941	0.3850178471
942	0.3849837935
943	0.3849467437
944	0.3849245865
945	0.3848888633
946	0.3848768588
947	0.3848294734
948	0.3847739394
949	0.3847217016
950	0.3846584752
951	0.384595094
952	0.3845780868
953	0.3845158618
954	0.3844836953
955	0.384436521
956	0.3844065874
957	0.3843753342
958	0.3843443683
959	0.3842838876
960	0.3842741599
961	0.3842386161
962	0.3841964393
963	0.3841566693
964	0.3841133362
965	0.3840777427
966	0.3840314104
967	0.3839849195
968	0.3839391608
969	0.3838843739
970	0.383838429
971	0.3837785256
972	0.3837473772
973	0.3837105827
974	0.3836903365
975	0.3836438876
976	0.3835768829
977	0.3835215645
978	0.3834906789
979	0.3834713641
980	0.3834338578
981	0.3833995041
982	0.3833686303
983	0.3833395865
984	0.3833141916
985	0.3832819701
986	0.383233575
987	0.3831933652
988	0.3831593561
989	0.3831168274
990	0.3830787885
991	0.3830524945
992	0.3830106438
993	0.3829336674
994	0.3829001478
995	0.382867067
996	0.3828275268
997	0.3828036356
998	0.3827611047
999	0.3827478463
1000	0.3827172422
1001	0.3826790738
1002	0.3826333238
1003	0.3825851658
1004	0.3825664147
1005	0.3825396515
1006	0.3825233295
1007	0.3824920458
1008	0.382471759
1009	0.3824322337
1010	0.3823881103
1011	0.382349545
1012	0.3823116964
1013	0.3822881518
1014	0.3822318057
1015	0.3821938014
1016	0.3821708547
1017	0.3821261538
1018	0.3820776775
1019	0.3820264144
1020	0.3820104057
1021	0.3819649358
1022	0.3819423674
1023	0.3818910316
1024	0.3818588036
1025	0.3818349182
1026	0.3817800204
1027	0.3817254028
1028	0.3816711389
1029	0.3816182805
1030	0.3815658128
1031	0.3815399418
1032	0.3814917353
1033	0.3814499319
1034	0.3814146233
1035	0.3813772271
1036	0.3813198546
1037	0.3812434904
1038	0.3812206742
1039	0.3811822291
1040	0.3811536111
1041	0.3811459815
1042	0.38111555
1043	0.381061364
1044	0.3810017894
1045	0.3809836664
1046	0.3809474015
1047	0.3809042756
1048	0.3808852809
1049	0.3808695635
1050	0.38081379
1051	0.3807983706
1052	0.3807233824
1053	0.3806655656
1054	0.3806225941
1055	0.3805853963
1056	0.3805662859
1057	0.3805370363
1058	0.380490839
1059	0.3804460861
1060	0.3804221329
1061	0.3804086277
1062	0.3803589831
1063	0.3803402497
1064	0.3802788967
1065	0.3802311622
1066	0.3801867287
1067	0.3801587872
1068	0.380124185
1069	0.3800617796
1070	0.3800384586
1071	0.3800014597
1072	0.3799773149
1073	0.3799211823
