iter	Passed	Remaining
0	44	88549
1	89	89130
2	123	82393
3	161	80473
4	200	79887
5	238	79355
6	275	78379
7	314	78280
8	353	78232
9	389	77579
10	424	76686
11	457	75777
12	493	75462
13	531	75377
14	570	75508
15	604	74957
16	638	74487
17	672	74035
18	711	74147
19	748	74100
20	781	73632
21	816	73406
22	847	72888
23	884	72817
24	921	72798
25	958	72744
26	995	72772
27	1032	72742
28	1069	72672
29	1105	72595
30	1141	72518
31	1177	72414
32	1211	72216
33	1242	71871
34	1273	71510
35	1308	71386
36	1341	71189
37	1377	71098
38	1406	70707
39	1437	70424
40	1472	70358
41	1501	70014
42	1537	69952
43	1567	69691
44	1598	69428
45	1627	69153
46	1657	68879
47	1691	68803
48	1725	68715
49	1759	68624
50	1795	68616
51	1830	68591
52	1864	68504
53	1894	68271
54	1926	68139
55	1956	67912
56	1991	67889
57	2021	67692
58	2051	67478
59	2081	67297
60	2111	67106
61	2141	66924
62	2170	66729
63	2203	66645
64	2237	66617
65	2273	66629
66	2302	66427
67	2336	66372
68	2370	66349
69	2400	66176
70	2433	66126
71	2463	65965
72	2494	65837
73	2527	65795
74	2560	65728
75	2590	65568
76	2619	65422
77	2650	65311
78	2683	65259
79	2718	65235
80	2753	65222
81	2780	65046
82	2817	65068
83	2846	64926
84	2875	64779
85	2910	64765
86	2944	64738
87	2978	64723
88	3014	64717
89	3044	64617
90	3079	64608
91	3113	64561
92	3142	64443
93	3172	64326
94	3207	64310
95	3236	64200
96	3272	64193
97	3305	64147
98	3334	64037
99	3369	64012
100	3398	63892
101	3433	63885
102	3467	63861
103	3498	63780
104	3531	63734
105	3560	63620
106	3589	63498
107	3622	63458
108	3656	63440
109	3689	63393
110	3718	63288
111	3746	63161
112	3780	63134
113	3813	63092
114	3845	63034
115	3873	62914
116	3902	62809
117	3938	62810
118	3967	62712
119	3997	62625
120	4029	62574
121	4059	62484
122	4088	62383
123	4122	62368
124	4154	62323
125	4189	62317
126	4218	62217
127	4259	62288
128	4291	62247
129	4328	62263
130	4361	62223
131	4401	62287
132	4435	62267
133	4466	62203
134	4501	62190
135	4532	62118
136	4560	62016
137	4591	61948
138	4621	61873
139	4654	61835
140	4683	61754
141	4712	61663
142	4746	61637
143	4775	61549
144	4807	61496
145	4841	61480
146	4876	61475
147	4911	61465
148	4946	61448
149	4976	61376
150	5006	61305
151	5040	61281
152	5074	61261
153	5109	61244
154	5138	61168
155	5173	61152
156	5207	61131
157	5240	61094
158	5269	61013
159	5302	60983
160	5337	60965
161	5365	60872
162	5393	60786
163	5428	60768
164	5457	60699
165	5486	60620
166	5515	60536
167	5545	60477
168	5576	60414
169	5606	60352
170	5633	60255
171	5663	60191
172	5698	60177
173	5729	60121
174	5764	60113
175	5800	60112
176	5832	60071
177	5870	60085
178	5899	60017
179	5929	59958
180	5960	59898
181	5991	59845
182	6018	59755
183	6047	59685
184	6074	59592
185	6101	59502
186	6131	59444
187	6159	59371
188	6190	59314
189	6217	59228
190	6254	59233
191	6285	59191
192	6315	59131
193	6345	59076
194	6374	59003
195	6405	58953
196	6440	58947
197	6469	58877
198	6499	58818
199	6526	58736
200	6554	58664
201	6589	58649
202	6623	58628
203	6651	58559
204	6685	58540
205	6716	58491
206	6744	58418
207	6773	58354
208	6805	58314
209	6840	58306
210	6867	58226
211	6900	58201
212	6932	58163
213	6962	58107
214	6992	58055
215	7021	57990
216	7048	57917
217	7081	57890
218	7111	57833
219	7139	57762
220	7168	57703
221	7199	57661
222	7227	57589
223	7254	57520
224	7289	57502
225	7318	57446
226	7351	57420
227	7379	57355
228	7411	57317
229	7442	57277
230	7478	57268
231	7507	57215
232	7538	57170
233	7566	57107
234	7594	57038
235	7628	57021
236	7656	56951
237	7681	56869
238	7714	56844
239	7745	56796
240	7779	56778
241	7815	56772
242	7841	56700
243	7868	56629
244	7900	56592
245	7932	56556
246	7961	56504
247	7992	56461
248	8019	56395
249	8047	56329
250	8081	56309
251	8108	56244
252	8143	56229
253	8177	56212
254	8207	56165
255	8243	56160
256	8272	56107
257	8299	56037
258	8333	56019
259	8368	56003
260	8395	55935
261	8426	55898
262	8454	55837
263	8482	55779
264	8511	55728
265	8543	55693
266	8571	55633
267	8600	55583
268	8627	55515
269	8660	55494
270	8690	55448
271	8724	55429
272	8750	55355
273	8784	55335
274	8819	55323
275	8850	55286
276	8885	55267
277	8914	55217
278	8942	55163
279	8969	55097
280	8997	55040
281	9023	54973
282	9053	54929
283	9083	54887
284	9117	54864
285	9150	54837
286	9178	54784
287	9205	54723
288	9239	54700
289	9270	54663
290	9303	54637
291	9332	54587
292	9359	54528
293	9386	54468
294	9415	54418
295	9441	54352
296	9477	54344
297	9512	54328
298	9540	54273
299	9568	54222
300	9595	54162
301	9630	54145
302	9662	54114
303	9697	54099
304	9731	54080
305	9764	54057
306	9792	54004
307	9824	53973
308	9864	53985
309	9893	53934
310	9923	53895
311	9959	53882
312	9987	53832
313	10015	53775
314	10046	53743
315	10075	53694
316	10104	53645
317	10138	53626
318	10174	53613
319	10206	53586
320	10240	53565
321	10274	53544
322	10302	53488
323	10332	53447
324	10361	53399
325	10389	53352
326	10422	53322
327	10451	53276
328	10485	53256
329	10512	53199
330	10542	53159
331	10574	53128
332	10602	53078
333	10630	53026
334	10661	52990
335	10691	52950
336	10719	52895
337	10753	52875
338	10784	52839
339	10812	52789
340	10843	52756
341	10874	52720
342	10907	52693
343	10942	52677
344	10971	52630
345	11003	52598
346	11030	52547
347	11058	52497
348	11085	52442
349	11117	52412
350	11149	52378
351	11176	52327
352	11207	52292
353	11236	52245
354	11261	52184
355	11288	52132
356	11317	52086
357	11347	52047
358	11376	52002
359	11403	51949
360	11432	51906
361	11460	51859
362	11489	51814
363	11520	51777
364	11548	51730
365	11578	51692
366	11609	51659
367	11637	51608
368	11667	51569
369	11697	51533
370	11732	51516
371	11766	51495
372	11797	51458
373	11826	51418
374	11853	51365
375	11883	51325
376	11912	51283
377	11940	51234
378	11967	51187
379	11994	51134
380	12024	51095
381	12052	51048
382	12081	51008
383	12113	50975
384	12144	50941
385	12178	50924
386	12206	50878
387	12233	50827
388	12262	50784
389	12291	50743
390	12326	50725
391	12355	50684
392	12382	50632
393	12422	50635
394	12452	50599
395	12480	50552
396	12510	50515
397	12538	50470
398	12565	50421
399	12592	50368
400	12626	50349
401	12655	50308
402	12682	50256
403	12712	50219
404	12739	50173
405	12768	50131
406	12805	50119
407	12834	50079
408	12864	50044
409	12892	49996
410	12926	49977
411	12960	49954
412	12986	49902
413	13013	49853
414	13040	49806
415	13069	49765
416	13102	49739
417	13130	49696
418	13156	49641
419	13185	49600
420	13212	49553
421	13241	49512
422	13269	49469
423	13297	49426
424	13336	49422
425	13373	49413
426	13405	49382
427	13435	49345
428	13461	49295
429	13488	49248
430	13523	49228
431	13550	49182
432	13579	49142
433	13606	49095
434	13637	49063
435	13665	49021
436	13700	49001
437	13726	48950
438	13753	48903
439	13782	48866
440	13813	48832
441	13846	48806
442	13881	48787
443	13912	48757
444	13939	48711
445	13970	48676
446	14004	48653
447	14034	48620
448	14069	48600
449	14101	48572
450	14130	48531
451	14156	48483
452	14185	48444
453	14212	48398
454	14239	48353
455	14269	48314
456	14298	48276
457	14327	48238
458	14355	48196
459	14390	48175
460	14419	48136
461	14447	48096
462	14475	48052
463	14504	48014
464	14537	47989
465	14563	47940
466	14592	47902
467	14617	47850
468	14651	47829
469	14685	47806
470	14719	47785
471	14753	47760
472	14788	47740
473	14816	47700
474	14852	47683
475	14883	47651
476	14911	47610
477	14943	47582
478	14970	47535
479	14997	47490
480	15026	47453
481	15057	47421
482	15086	47382
483	15113	47338
484	15143	47304
485	15170	47258
486	15197	47214
487	15226	47178
488	15256	47142
489	15290	47118
490	15316	47071
491	15344	47031
492	15377	47004
493	15404	46961
494	15438	46940
495	15470	46911
496	15503	46886
497	15532	46846
498	15559	46801
499	15585	46756
500	15614	46719
501	15646	46690
502	15678	46661
503	15706	46620
504	15739	46595
505	15770	46564
506	15802	46533
507	15837	46514
508	15866	46476
509	15893	46434
510	15921	46394
511	15953	46363
512	15983	46329
513	16012	46293
514	16046	46269
515	16074	46230
516	16104	46195
517	16137	46168
518	16170	46143
519	16200	46110
520	16228	46069
521	16255	46026
522	16283	45985
523	16313	45950
524	16343	45917
525	16372	45881
526	16399	45837
527	16427	45799
528	16455	45757
529	16484	45721
530	16513	45683
531	16546	45658
532	16574	45618
533	16603	45581
534	16631	45543
535	16658	45499
536	16687	45462
537	16715	45423
538	16745	45389
539	16773	45351
540	16804	45318
541	16840	45301
542	16870	45268
543	16896	45223
544	16930	45199
545	16958	45159
546	16989	45128
547	17024	45107
548	17059	45087
549	17088	45050
550	17122	45028
551	17150	44988
552	17178	44950
553	17215	44933
554	17244	44897
555	17270	44854
556	17301	44822
557	17332	44790
558	17363	44759
559	17393	44725
560	17425	44697
561	17459	44674
562	17488	44638
563	17514	44594
564	17548	44571
565	17581	44544
566	17615	44520
567	17643	44481
568	17677	44458
569	17708	44426
570	17736	44387
571	17768	44358
572	17798	44324
573	17826	44287
574	17857	44256
575	17890	44230
576	17918	44190
577	17945	44150
578	17971	44106
579	18001	44072
580	18030	44036
581	18057	43996
582	18089	43968
583	18118	43932
584	18148	43897
585	18174	43853
586	18210	43834
587	18236	43792
588	18265	43757
589	18299	43733
590	18329	43699
591	18361	43671
592	18395	43647
593	18430	43624
594	18461	43594
595	18488	43554
596	18521	43528
597	18550	43490
598	18578	43452
599	18605	43412
600	18639	43388
601	18673	43364
602	18703	43330
603	18737	43306
604	18767	43274
605	18796	43238
606	18830	43214
607	18861	43181
608	18887	43141
609	18915	43103
610	18945	43068
611	18974	43034
612	19009	43012
613	19038	42977
614	19064	42934
615	19095	42903
616	19124	42868
617	19157	42840
618	19188	42809
619	19222	42784
620	19256	42760
621	19283	42721
622	19311	42684
623	19346	42662
624	19374	42623
625	19402	42586
626	19430	42549
627	19459	42512
628	19486	42474
629	19517	42442
630	19548	42412
631	19574	42369
632	19604	42337
633	19635	42306
634	19666	42274
635	19700	42251
636	19732	42222
637	19760	42183
638	19793	42158
639	19825	42129
640	19855	42095
641	19882	42057
642	19913	42026
643	19941	41988
644	19975	41963
